profile_id,latitude,longitude,upper_depth,lower_depth,date,bdfi33,bdfiod,bdwsod,cecph7,cfgr,cfvo,clay,ecec,elco20,elcosp,nitkjd,orgc,phaq,phca,phetb1,phkc,phnf,phprtn,sand,silt,totc,wg0006,wg0010,wg0033,wg0200,wg1500
1566400,18.032698463231608,-91.10835595650492,88,125,????-??-??,,,,,,,38.0,,,1.0,,,6.9,,,,,,52.0,10.0,,,,,,
1566401,18.70405702082717,-90.75532205413941,0,35,2003-4-23,,,,,,,40.0,,,0.2,,39.0,8.2,,,,,,44.0,16.0,,,,,,
1566402,18.60753424339281,-90.38807588582583,0,19,2003-4-24,,,,,,,60.0,,,0.1,,18.0,6.5,,,,,,30.0,10.0,,,,,,
1566402,18.60753424339281,-90.38807588582583,19,44,2003-4-24,,,,,,,64.0,,,0.1,,4.0,7.0,,,,,,28.0,8.0,,,,,,
1566402,18.60753424339281,-90.38807588582583,44,75,2003-4-24,,,,,,,68.0,,,0.1,,3.0,8.1,,,,,,24.0,8.0,,,,,,
1566402,18.60753424339281,-90.38807588582583,75,100,2003-4-24,,,,,,,66.0,,,0.2,,4.0,8.0,,,,,,28.0,6.0,,,,,,
1566402,18.60753424339281,-90.38807588582583,100,132,2003-4-24,,,,,,,64.0,,,0.4,,2.0,8.3,,,,,,26.0,10.0,,,,,,
1566403,18.017421756253057,-90.47461900228177,0,32,2003-5-19,,,,,,,74.0,,,0.1,,25.0,6.3,,,,,,21.0,5.0,,,,,,
1566403,18.017421756253057,-90.47461900228177,32,60,2003-5-19,,,,,,,78.0,,,0.0,,4.0,7.1,,,,,,18.0,4.0,,,,,,
1566403,18.017421756253057,-90.47461900228177,60,92,2003-5-19,,,,,,,74.0,,,0.1,,2.0,7.0,,,,,,20.0,6.0,,,,,,
1566403,18.017421756253057,-90.47461900228177,92,125,2003-5-19,,,,,,,70.0,,,0.3,,5.0,6.1,,,,,,20.0,10.0,,,,,,
1566404,17.945331089475445,-95.79337810742356,0,15,????-??-??,,,,,,,8.0,,,1.0,,,4.8,,,,,,72.0,20.0,,,,,,
1566404,17.945331089475445,-95.79337810742356,15,46,????-??-??,,,,,,,26.0,,,1.0,,,4.5,,,,,,58.0,16.0,,,,,,
