date,profile_id,longitude,latitude,upper_depth,lower_depth,clay,elcosp,orgc,phaq,sand,silt,geometry,soil_type,slopemean,bedrock
1971-12-8,1462237,-100.88559289280164,21.29314699855961,13,27,28.0,2.0,5.0,6.2,46.0,26.0,POINT (-100.88559289280164 21.29314699855961),FEOZEM LUVICO,0.2346542664568558,rocas_igneas
1971-2-20,1149461,-101.90554295526296,20.129912255615384,0,25,52.0,2.0,17.0,6.1,28.0,20.0,POINT (-101.90554295526296 20.129912255615384),VERTISOL PELICO,0.9925562739372253,rocas_igneas
1971-3-20,1288659,-103.60863082073033,22.04581375333879,0,20,38.0,2.0,9.0,7.2,48.0,14.0,POINT (-103.60863082073033 22.045813753338795),LUVISOL VERTICO,0.9815672382712364,rocas_igneas
1971-3-20,1288659,-103.60863082073033,22.04581375333879,0,20,38.0,2.0,9.0,7.2,48.0,14.0,POINT (-103.60863082073033 22.045813753338795),LUVISOL VERTICO,0.9815672382712364,rocas_igneas
1971-3-31,1427622,-103.70315083525868,22.6476524534266,0,20,26.0,2.0,17.0,6.5,50.0,24.0,POINT (-103.70315083525868 22.6476524534266),FEOZEM HAPLICO,4.415459156036377,rocas_sedimentarias
1971-4-13,1601394,-104.22648194934482,21.558666322029055,0,30,20.0,1.0,20.0,5.2,56.0,24.0,POINT (-104.22648194934482 21.55866632202905),LUVISOL FERRICO,4.5911455154418945,rocas_igneas
1971-4-2,1636212,-104.15287175553766,21.5365546609254,0,15,40.0,1.0,29.0,5.9,38.0,22.0,POINT (-104.15287175553766 21.536554660925393),LUVISOL VERTICO,4.873837402888706,rocas_igneas
1971-4-3,1288661,-104.0692798273489,21.719720948239,0,30,34.0,1.0,8.0,5.9,44.0,22.0,POINT (-104.0692798273489 21.719720948239),LUVISOL FERRICO,1.8437623977661133,rocas_igneas
1971-4-3,1601392,-104.96833209703571,21.875936875219782,0,24,30.0,1.0,29.0,4.8,32.0,38.0,POINT (-104.96833209703571 21.875936875219775),ACRISOL HUMICO,1.969096064567566,rocas_sedimentarias
1971-7-15,1392829,-101.17472057508594,21.454840384908465,0,10,28.0,2.0,9.0,6.8,38.0,34.0,POINT (-101.17472057508594 21.454840384908465),XEROSOL HAPLICO,0.3285548147701082,rocas_igneas
1971-7-15,1392829,-101.17472057508594,21.454840384908465,0,10,28.0,2.0,9.0,6.8,38.0,34.0,POINT (-101.17472057508594 21.454840384908465),XEROSOL HAPLICO,0.3285548147701082,rocas_igneas
1971-7-15,1392829,-101.17472057508594,21.454840384908465,10,20,40.0,2.0,8.0,6.3,38.0,22.0,POINT (-101.17472057508594 21.454840384908465),XEROSOL HAPLICO,0.3285548147701082,rocas_igneas
1971-7-15,1392829,-101.17472057508594,21.454840384908465,10,20,40.0,2.0,8.0,6.3,38.0,22.0,POINT (-101.17472057508594 21.454840384908465),XEROSOL HAPLICO,0.3285548147701082,rocas_igneas
1971-7-16,1358128,-101.23379138042708,21.42186900661465,0,16,22.0,2.0,5.0,5.7,52.0,26.0,POINT (-101.23379138042708 21.421869006614642),FEOZEM HAPLICO,0.9123721356902804,rocas_igneas
1971-7-16,1358128,-101.23379138042708,21.42186900661465,0,16,22.0,2.0,5.0,5.7,52.0,26.0,POINT (-101.23379138042708 21.421869006614642),FEOZEM HAPLICO,0.9123721356902804,rocas_igneas
1971-7-19,1462238,-100.88890735327624,21.25296252203318,0,10,28.0,2.0,7.0,5.9,52.0,20.0,POINT (-100.88890735327624 21.25296252203318),FEOZEM LUVICO,0.2346542664568558,rocas_igneas
1971-7-19,1462238,-100.88890735327624,21.25296252203318,10,30,24.0,2.0,8.0,6.0,50.0,26.0,POINT (-100.88890735327624 21.25296252203318),FEOZEM LUVICO,0.2346542664568558,rocas_igneas
1971-7-25,1427688,-100.9209448076524,21.08083496425421,0,16,24.0,2.0,10.0,7.0,44.0,32.0,POINT (-100.9209448076524 21.080834964254212),FEOZEM LUVICO,0.4529534578323364,rocas_sedimentarias
1971-7-26,1219137,-100.74671988766582,21.096209569105056,0,26,28.0,2.0,14.0,7.4,52.0,20.0,POINT (-100.74671988766582 21.096209569105056),FEOZEM LUVICO,0.21321134453381374,rocas_igneas
1971-7-26,1323321,-100.536096046418,21.075019471839557,0,18,16.0,2.0,5.0,8.0,66.0,18.0,POINT (-100.536096046418 21.075019471839557),FEOZEM LUVICO,0.3724173307418823,rocas_metamorficas
