date,profile_id,longitude,latitude,upper_depth,lower_depth,clay,phaq,sand,silt,tceq
1983-4-18,1636130,-89.48036726767567,19.304827829188557,0,20,54.0,6.6,34.0,12.0,0.0
1983-4-20,1323118,-90.37651099611467,19.550766116272115,0,15,54.0,6.2,26.0,20.0,0.0
1983-4-20,1357968,-90.07734117008799,19.73691890659568,0,10,52.0,6.5,26.0,22.0,0.0
1983-4-23,1531552,-90.55137762163397,19.735168065981433,0,20,68.0,6.2,22.0,10.0,0.0
1983-4-28,1149224,-90.68138091699988,19.38338118694648,0,7,62.0,6.8,26.0,12.0,0.0
1983-4-7,1218944,-94.70156120556113,17.955911676305632,0,27,6.0,4.3,82.0,12.0,0.0
1983-5-12,1428036,-110.75225805279422,29.935035435397847,0,20,6.0,5.2,84.0,10.0,0.0
1983-5-13,1671206,-111.30565040707413,29.791182392084732,0,12,12.0,6.6,74.0,14.0,0.0
1983-5-15,1288600,-88.2440163926685,18.86917661193814,0,6,66.0,6.9,24.0,10.0,0.0
1983-5-17,1149791,-111.48160735568797,29.7140133379181,0,14,14.0,6.5,68.0,18.0,0.0
1983-5-17,1184197,-89.31087452830029,19.03542907253061,0,25,36.0,6.9,48.0,16.0,0.0
