date,profile_id,longitude,latitude,upper_depth,lower_depth,country_name,bdfi33,bdfiod,bdwsod,cecph7,cfgr,cfvo,clay,ecec,elco20,elcosp,nitkjd,orgc,phaq,phca,phetb1,phkc,phnf,phprtn,sand,silt,tceq,totc,wg0006,wg0010,wg0033,wg0200,wg1500
1971-7-4,1427626,-103.9405219331786,22.177796147002113,0,17,Mexico,,,,,,,28.0,,,2.0,,20.0,5.8,,,,,,56.0,16.0,0.0,,,,,,
1971-7-6,1358072,-104.10946989560574,22.071473736381595,0,28,Mexico,,,,,,,22.0,,,2.0,,16.0,6.3,,,,,,58.0,20.0,0.0,,,,,,
1971-8-29,1392850,-100.15649609713024,20.213516799432714,0,24,Mexico,,,,,,,34.0,,,2.0,,15.0,5.4,,,,,,44.0,22.0,0.0,,,,,,
1971-8-30,1184348,-100.22168444189403,20.162898452649795,0,20,Mexico,,,,,,,38.0,,,2.0,,23.0,6.1,,,,,,36.0,26.0,0.0,,,,,,
1971-9-12,1184346,-100.09492597331011,20.458276688253466,0,14,Mexico,,,,,,,30.0,,,2.0,,9.0,6.1,,,,,,52.0,18.0,0.0,,,,,,
1971-9-14,1462254,-100.28645836654223,20.304334196872105,0,12,Mexico,,,,,,,32.0,,,2.0,,13.0,6.1,,,,,,46.0,22.0,0.0,,,,,,
1971-9-2,1253954,-100.18084096048871,21.07354386889436,0,26,Mexico,,,,,,,14.0,,,2.0,,7.0,5.8,,,,,,76.0,10.0,0.0,,,,,,
1971-9-27,1323316,-101.29577208386158,21.458530188254315,0,20,Mexico,,,,,,,22.0,,,2.0,,15.0,6.1,,,,,,44.0,34.0,0.0,,,,,,
1971-9-28,1149449,-101.29585055254617,21.171878657917283,0,10,Mexico,,,,,,,26.0,,,2.0,,10.0,6.7,,,,,,48.0,26.0,0.0,,,,,,
1971-9-28,1149449,-101.29585055254617,21.171878657917283,10,30,Mexico,,,,,,,50.0,,,2.0,,3.0,7.0,,,,,,34.0,16.0,0.0,,,,,,
1971-9-28,1636255,-101.22118994652435,21.17491017319906,0,10,Mexico,,,,,,,16.0,,,2.0,,30.0,5.9,,,,,,52.0,32.0,0.0,,,,,,
1971-9-3,1462239,-100.17767989401119,21.202785221988833,0,28,Mexico,,,,,,,12.0,,,2.0,,7.0,6.3,,,,,,74.0,14.0,0.0,,,,,,
1971-9-7,1219048,-105.51318704796154,22.77606285283608,0,27,Mexico,,,,,,,22.0,,,2.0,,16.0,4.9,,,,,,46.0,32.0,0.0,,,,,,
1972-1-14,1496848,-102.290280751789,20.28411213866615,0,10,Mexico,,,,,,,26.0,,,6.8,,14.0,7.1,,,,,,36.0,38.0,,,,,,,
1972-1-14,1496848,-102.290280751789,20.28411213866615,10,24,Mexico,,,,,,,52.0,,,30.8,,4.0,8.0,,,,,,28.0,20.0,,,,,,,
1972-1-16,1149342,-103.97153272528644,20.22878879684959,0,18,Mexico,,,,,,,28.0,,,2.0,,16.0,6.6,,,,,,34.0,38.0,0.0,,,,,,
1972-1-24,1670787,-102.06536570520092,20.058427678746433,0,30,Mexico,,,,,,,52.0,,,2.0,,12.0,7.8,,,,,,32.0,16.0,,,,,,,
1972-10-20,1636005,-99.21449212738135,18.35586024923349,0,22,Mexico,,,,,,,24.0,,,1.0,,16.0,6.7,,,,,,56.0,20.0,0.0,,,,,,
1972-11-24,1461990,-99.73631683756388,18.535416685357713,0,9,Mexico,,,,,,,26.0,,,1.0,,67.0,7.1,,,,,,34.0,40.0,,,,,,,
1972-11-25,1496677,-99.79550530365555,18.700411187669047,0,30,Mexico,,,,,,,60.0,,,1.0,,10.0,5.6,,,,,,18.0,22.0,0.0,,,,,,
1972-2-16,1149458,-101.72623928891753,20.44261207929421,0,30,Mexico,,,,,,,34.0,,,2.0,,15.0,6.4,,,,,,42.0,24.0,0.0,,,,,,
1972-2-22,1636174,-102.11118128452031,20.652269376064492,0,13,Mexico,,,,,,,38.0,,,2.0,,12.0,5.2,,,,,,40.0,22.0,0.0,,,,,,
1972-3-1,1149341,-103.07832660182501,20.015855248108146,0,10,Mexico,,,,,,,36.0,,,2.0,,29.0,5.8,,,,,,44.0,20.0,0.0,,,,,,
1972-3-1,1670786,-103.61697296997136,20.002779323845967,0,22,Mexico,,,,,,,32.0,,,2.0,,21.0,7.7,,,,,,32.0,36.0,,,,,,,
1972-3-13,1427587,-103.35457667131061,20.465317031831635,0,22,Mexico,,,,,,,24.0,,,2.0,,12.0,6.4,,,,,,44.0,32.0,0.0,,,,,,
